순위 연속  누적  종목명 현재가 전일비  등락률    거래량 시가  고가  저가
53,SK바이오사이언스,"79,100",200,-0.25%,500,"60,736","76,784",4.81,"56,453",49.56,N/A,
54,현대글로비스,"161,900",700,+0.43%,500,"60,712","37,500",47.72,"16,741",5.10,18.78,
55,SK아이이테크놀로지,"82,500","1,400",+1.73%,"1,000","58,821","71,298",6.95,"101,084",-198.32,-1.35,
56,삼성엔지니어링,"28,950",250,-0.86%,"5,000","56,742","196,000",47.32,"187,571",8.53,28.32,
57,LG디스플레이,"15,620",420,+2.76%,"5,000","55,891","357,816",19.31,"2,244,374",-1.82,-26.71,
58,KODEX 200,"32,690",90,+0.28%,0,"55,736","170,500",1.60,"668,526",N/A,N/A,
59,SK바이오팜,"71,000",300,+0.42%,500,"55,602","78,313",6.36,"19,683",-39.89,-36.66,
60,DB손해보험,"75,100","1,000",-1.31%,500,"53,171","70,800",44.38,"27,920",5.41,16.45,
61,F&F,"138,700",800,+0.58%,100,"53,132","38,307",12.71,"11,672",12.03,60.40,
62,오리온,"133,600","9,400",-6.57%,500,"52,820","39,536",42.09,"58,977",13.46,16.47,
63,한화에어로스페이스,"102,700",800,-0.77%,"5,000","51,997","50,630",33.54,"258,192",25.89,6.98,
64,코스모신소재,"169,000","2,600",+1.56%,"1,000","51,800","30,651",7.63,"186,194",238.36,12.13,
65,맥쿼리인프라,"12,780",20,+0.16%,0,"51,739","404,846",13.87,"144,783",N/A,N/A,
66,포스코인터내셔널,"28,900",550,+1.94%,"5,000","50,842","175,923",5.72,"789,309",6.05,15.79,
67,한온시스템,"9,430",130,+1.40%,100,"50,337","533,800",16.62,"153,440",248.16,0.89,
68,한국항공우주,"51,200",200,-0.39%,"5,000","49,907","97,475",27.21,"200,491",42.14,8.78,
69,두산밥캣,"49,650","1,650",-3.22%,500,"49,774","100,249",35.25,"148,801",6.63,13.78,
70,넷마블,"57,900",600,+1.05%,100,"49,767","85,954",22.64,"63,260",-6.07,-14.56,
71,CJ제일제당,"322,500","3,000",+0.94%,"5,000","48,550","15,054",24.41,"9,534",8.87,9.26,
72,LG유플러스,"11,080",50,+0.45%,"5,000","48,377","436,611",39.10,"150,907",7.29,8.37,
73,삼성중공업,"5,450",30,-0.55%,"1,000","47,960","880,000",15.89,"733,863",-7.74,-16.08,
74,TIGER CD금리투자KIS(합성),"52,360",5,+0.01%,0,"47,728","91,154",0.00,"159,758",N/A,N/A,
75,현대제철,"34,200",500,-1.44%,"5,000","45,638","133,446",25.30,"91,868",4.49,5.56,
76,HD현대,"57,100",300,-0.52%,"1,000","45,105","78,993",18.77,"30,592",3.20,20.43,
77,한국타이어앤테크놀로지,"36,050",750,+2.12%,500,"44,657","123,875",37.94,"92,928",6.47,8.14,
78,유한양행,"57,900",500,+0.87%,"1,000","44,374","76,639",20.01,"44,935",47.34,4.86,
79,현대건설,"38,750",250,-0.64%,"5,000","43,150","111,356",25.28,"89,339",10.65,5.49,
80,미래에셋증권,"6,880",50,+0.73%,"5,000","41,646","605,316",13.24,"142,861",8.29,6.17,
81,현대차2우B,"111,900","2,300",+2.10%,"5,000","40,419","36,121",62.81,"25,064",4.21,N/A,
82,강원랜드,"18,320",20,-0.11%,500,"39,194","213,940",17.64,"115,454",33.93,3.47,
83,한미약품,"306,500","5,500",+1.83%,"2,500","38,503","12,562",17.43,"8,159",46.50,9.89,
84,금호석유,"130,900","1,800",+1.39%,"5,000","38,372","29,314",21.31,"19,327",4.22,19.11,
85,GS,"39,600",50,-0.13%,"5,000","36,794","92,915",25.00,"24,839",1.75,18.86,
86,코웨이,"48,150",150,-0.31%,500,"35,535","73,800",61.32,"48,752",7.76,21.72,
87,KODEX KOFR금리액티브(합성),"103,000",5,0.00%,0,"35,317","34,288",0.00,"99,780",N/A,N/A,
88,SKC,"92,600",600,+0.65%,"5,000","35,066","37,868",11.97,"42,771",-51.30,-3.67,
89,삼성카드,"29,950",200,-0.66%,"5,000","34,700","115,859",6.71,"10,193",5.58,8.08,
90,현대로템,"31,300","1,650",-5.01%,"5,000","34,162","109,142",19.38,"1,848,737",17.27,14.06,
91,현대오토에버,"122,300","2,700",+2.26%,500,"33,540","27,424",3.44,"31,261",29.44,8.00,
92,씨에스윈드,"76,500","1,800",-2.30%,500,"32,261","42,171",11.23,"182,438","-3,326.09",-0.11,
93,호텔신라,"80,900",500,+0.62%,"5,000","31,752","39,248",21.21,"58,783",-64.51,-8.99,
94,삼성증권,"35,250",50,+0.14%,"5,000","31,478","89,300",30.30,"49,897",7.45,6.88,
95,BGF리테일,"181,200","1,000",-0.55%,"1,000","31,318","17,284",33.65,"5,963",16.18,21.85,
96,NH투자증권,"9,320",10,-0.11%,"5,000","30,911","331,666",12.91,"68,171",10.57,4.32,
97,현대해상,"34,300",550,-1.58%,500,"30,664","89,400",38.50,"77,778",5.34,12.44,
98,한국금융지주,"54,200",300,-0.55%,"5,000","30,203","55,726",38.88,"24,881",5.24,8.45,
99,롯데지주,"28,600",300,-1.04%,200,"30,004","104,909",8.28,"85,862",17.72,2.42,
100,금양,"51,200","4,700",-8.41%,500,"29,722","58,050",4.52,"1,489,398",-93.26,-24.34,
